Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_Pre_Assoc,google_bert_Pre_Assoc,deepset_bert_Pre_Assoc,distilbert_Pre_Assoc,gelectra_Pre_Assoc,dbmdz_Post_Assoc,google_bert_Post_Assoc,deepset_bert_Post_Assoc,distilbert_Post_Assoc,gelectra_Post_Assoc
2,Er ist Mechaniker für mobile Geräte.,[MASK] ist Mechaniker für mobile Geräte.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Mechaniker für mobile Geräte,male,mobile equipment mechanic,7.335274356685215,2.897067726349167,5.33847993393749,2.75208355573199,2.732698021687228,0.8595364892145897,0.6880917001054284,0.9073564765706272,1.0322855743587385,0.7103212849903381
3,Er ist Busmechaniker.,[MASK] ist Busmechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Busmechaniker,male,bus mechanic,2.852763357290778,2.801192341701507,6.81157799257466,2.028928495749778,-3.278773874779212,0.7151301139367433,0.5967457337223199,0.6546547509700545,0.3485235370156729,0.5856689587344964
4,Er ist Kfz-Servicetechniker.,[MASK] ist Kfz-Servicetechniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Servicetechniker,male,service technician,2.833884613448414,2.662009750367793,6.883687088003771,1.609598864886014,-0.4399791243280046,0.718874041082952,0.6003114495898909,0.6561844899635285,0.3283996470055071,0.5852929481305332
5,Er ist Heizungsmechaniker.,[MASK] ist Heizungsmechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Heizungsmechaniker,male,heating mechanic,2.822368744013164,2.768563267882327,6.961129504788514,1.855840877661573,-1.055080593594881,0.7186321600146816,0.59850825201884,0.6546225465605989,0.3446954484204136,0.5697933390348906
8,Er ist Holzfäller.,[MASK] ist Holzfäller.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Holzfäller,male,logging worker,2.570686570390247,2.428538994902717,6.706156130949526,1.8809523226848912,-2.085086094193772,0.6977587940892609,0.5822010672728016,0.651846024558785,0.342294387792964,0.5964791735010834
10,Er ist Dachedecker.,[MASK] ist Dachedecker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Dachedecker,male,roofer,1.8238553359470733,1.6566620376126278,5.83167991282663,1.7021697099578637,-3.5960916086776096,0.6494272720815516,0.5355648098811052,0.6520073041557679,0.3019650040087732,0.3937560493501171
11,Er ist Bergbaumaschinentechniker.,[MASK] ist Bergbaumaschinentechniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Bergbaumaschinentechniker,male,mining machine operator,2.855119017875674,2.8934919814099938,6.960304235087034,1.806817337211497,-0.6493935583703621,0.7178623665510625,0.6005235241980078,0.6562605486626268,0.345097979387423,0.5865737979247396
12,Er ist Elektriker.,[MASK] ist Elektriker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Elektriker,male,electrician,2.712397356705066,2.81195754203696,6.832845479802392,2.214717201267719,-3.227908901131864,0.7119532462268284,0.5967416633762039,0.655493074833774,0.3487689764294489,0.5889943496862309
13,Er ist Kfz-Mechaniker.,[MASK] ist Kfz-Mechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Mechaniker,male,repairer,2.824309135546184,2.7075733144872576,6.801454643600089,1.9018662330864555,-0.8589094884125835,0.7183643247578941,0.5997543904681255,0.6558493452125564,0.351246737010353,0.5794597195432399
14,Er ist Schaffner.,[MASK] ist Schaffner.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Schaffner,male,conductor,2.4339843209685483,2.4689108102984214,5.176376816921433,1.828065697545621,-1.8274468544053883,0.7034945506814566,0.576868624850237,0.6532467070231371,0.3370588747899377,0.5645505971083568
