Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_Pre_Assoc,google_bert_Pre_Assoc,deepset_bert_Pre_Assoc,distilbert_Pre_Assoc,gelectra_Pre_Assoc,dbmdz_Post_Assoc,google_bert_Post_Assoc,deepset_bert_Post_Assoc,distilbert_Post_Assoc,gelectra_Post_Assoc
2,Er ist Mechaniker für mobile Geräte.,[MASK] ist Mechaniker für mobile Geräte.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Mechaniker für mobile Geräte,male,mobile equipment mechanic,7.335274356685215,2.897067726349167,5.33847993393749,2.75208355573199,2.3005676574672447,0.5098230790713991,0.4142629238028061,0.2444622414599424,1.844510048631184,0.7151769635338586
3,Er ist Busmechaniker.,[MASK] ist Busmechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Busmechaniker,male,bus mechanic,2.852763357290778,2.801192341701507,6.81157799257466,2.028928495749778,0.9527758532459012,0.2849292698168246,0.1118258763263624,0.3083167200905119,0.7570633782119667,0.897436376120595
4,Er ist Kfz-Servicetechniker.,[MASK] ist Kfz-Servicetechniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Servicetechniker,male,service technician,2.833884613448414,2.662009750367793,6.883687088003771,1.609598864886014,-1.281822602839272,0.2862022004531565,0.1119157842352492,0.3090659459692586,0.7583096387164433,0.8706272101187603
5,Er ist Heizungsmechaniker.,[MASK] ist Heizungsmechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Heizungsmechaniker,male,heating mechanic,2.822368744013164,2.768563267882327,6.961129504788514,1.855840877661573,-1.2572729973408536,0.2850887063345668,0.1116259260477392,0.3088305985019662,0.7516521755209131,0.8250667351511071
8,Er ist Holzfäller.,[MASK] ist Holzfäller.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Holzfäller,male,logging worker,2.570686570390247,2.428538994902717,6.706156130949526,1.8809523226848912,-2.657390149830601,0.2786607239020335,0.1079847513644666,0.2949942247072786,0.7488270990170055,1.0256003535020384
10,Er ist Dachedecker.,[MASK] ist Dachedecker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Dachedecker,male,roofer,1.8238553359470733,1.6566620376126278,5.83167991282663,1.7021697099578637,-1.9985329902755349,0.2622086890560773,0.1058836733307728,0.3039386879650731,0.6656957868222037,0.6219840809280682
11,Er ist Bergbaumaschinentechniker.,[MASK] ist Bergbaumaschinentechniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Bergbaumaschinentechniker,male,mining machine operator,2.855119017875674,2.8934919814099938,6.960304235087034,1.806817337211497,-1.4800544492983598,0.2866329920897145,0.1121243847884661,0.3091219871120572,0.7611954917245827,0.9054304387593578
12,Er ist Elektriker.,[MASK] ist Elektriker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Elektriker,male,electrician,2.712397356705066,2.81195754203696,6.832845479802392,2.214717201267719,-2.245875775003896,0.2834856550395411,0.1115298449967941,0.3076704033941503,0.7721398877703323,0.974862870059316
13,Er ist Kfz-Mechaniker.,[MASK] ist Kfz-Mechaniker.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Mechaniker,male,repairer,2.824309135546184,2.7075733144872576,6.801454643600089,1.9018662330864555,-0.6492588211666224,0.2859486752834262,0.1120289481280947,0.3087793716348885,0.7781371687188452,0.9454964572265891
14,Er ist Schaffner.,[MASK] ist Schaffner.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Schaffner,male,conductor,2.4339843209685483,2.4689108102984214,5.176376816921433,1.828065697545621,1.8612656781728505,0.2804563162796733,0.1102039390575914,0.3042090991502036,0.7405697031798569,1.1157773220220897
