Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_HF_Assoc,dbmdz_Pre_Assoc,google_bert_HF_Assoc,google_bert_Pre_Assoc,deepset_bert_HF_Assoc,deepset_bert_Pre_Assoc,distilbert_HF_Assoc,distilbert_Pre_Assoc,gelectra_HF_Assoc,gelectra_Pre_Assoc,dbmdz_Post_Assoc,google_bert_Post_Assoc,deepset_bert_Post_Assoc,distilbert_Post_Assoc,gelectra_Post_Assoc
0,Er ist Trockenbaumontagekraft.,[MASK] ist Trockenbaumontagekraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Trockenbaumontagekraft,male,taper,0.0681694243726765,0.0681694243726765,-0.9391837687819532,-0.9391837687819532,5.514864972615433,5.514864972615433,0.1212520674509568,0.1212520674509568,-2.6222918396077377,2.652392339393051,-4.601525833799266,-1.0608194508667526,-2.2300167874994683,-2.8214570840138995,-1.492121919430209
1,Er ist Stahlarbeitskraft.,[MASK] ist Stahlarbeitskraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Stahlarbeitskraft,male,steel worker,2.169145064358565,2.169145064358565,1.4107481537509865,1.4107481537509865,5.205994937842265,5.205994937842265,1.5103210408597842,1.5103210408597842,3.371347126642451,2.4823179814098766,-2.47002579975704,-2.692275502469388,-2.0509920035485325,-0.4276346705093724,-1.5214385686641723
2,Er ist Fachkraft für mobile Geräte.,[MASK] ist Fachkraft für mobile Geräte.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK]   .,<person subject> ist <profession>.,Er,male,Fachkraft für mobile Geräte,male,mobile equipment mechanic,4.749343499908377,4.749343499908377,1.630882258834927,1.630882258834927,3.182048885899842,3.182048885899842,2.327557948412833,2.327557948412833,-6.8740197604996585,-2.1203888501374677,-6.792608167082955,-4.395178511216708,-2.1474645845410394,1.0646594286689084,-0.68598930261119
3,Er ist Mechanik Fachkraft für Busse.,[MASK] ist Mechanik Fachkraft für Busse.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Mechanik Fachkraft für Busse,male,bus mechanic,6.074438152884555,6.074438152884555,1.7407925864389322,1.7407925864389322,4.026025542571149,4.026025542571149,1.8792800346170728,1.8792800346170728,-6.679942987958802,-1.7648304153862275,-5.113926699760609,-3.9780227824541834,-1.9662866455584453,1.0632438934356843,-1.0259790868539918
4,Er ist Kfz-Servicetechnikfachkraft.,[MASK] ist Kfz-Servicetechnikfachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Servicetechnikfachkraft,male,service technician,1.6665721886442433,1.6665721886442433,1.2586977393927214,1.2586977393927214,5.449483086286049,5.449483086286049,1.0371336118768937,1.0371336118768937,-2.5106666271618203,2.686320891365603,-3.586241143175977,-3.358695716285372,-2.0046013493809265,-1.0987695606869026,-1.4075857245054468
5,Er ist Fachkraft für Heizungstechnik.,[MASK] ist Fachkraft für Heizungstechnik.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft für Heizungstechnik,male,heating mechanic,5.9174416977338655,5.9174416977338655,1.8418950772183176,1.8418950772183176,4.248382665927244,4.248382665927244,2.078315190160924,2.078315190160924,-2.527424265138045,0.614763761211989,-6.607280973160322,-4.105815586599649,-1.4903301123379449,0.8254503774300055,-0.817031677739165
6,Er ist Elektrofachkraft.,[MASK] ist Elektrofachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Elektrofachkraft,male,electrical installer,2.150674314440709,2.150674314440709,1.658850143234872,1.658850143234872,5.661113930171984,5.661113930171984,1.3922376266762198,1.3922376266762198,1.4972318227509938,2.049823829526689,-2.7325120061409867,-3.3540620342631935,-0.8797529761639404,-1.0685933154238823,-0.9935571024275093
7,Er ist Betriebsingenieur*in.,[MASK] ist Betriebsingenieur*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Betriebsingenieur*in,male,operating engineer,2.194381285230364,2.194381285230364,2.14310822299626,2.14310822299626,6.762723720277843,6.762723720277843,1.885617306132967,1.885617306132967,-2.0415842768986026,1.3302184788918137,0.7265872583165457,0.3279672164494936,0.6526988240803249,0.4793166880047064,0.45503885194336635
8,Er ist Fachkraft für Holz-und Bautenschutzarbeiten.,[MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft für Holz-und Bautenschutzarbeiten,male,logging worker,5.865719807292523,5.865719807292523,1.5153588393544926,1.5153588393544926,3.404516631520111,3.404516631520111,2.702650852224762,2.702650852224762,-6.1254097085520245,-1.6142778520188843,-7.051002467666177,-4.5948271800786165,-3.4690059858493174,0.9970916569678825,-0.6608978210176889
9,Er ist Bodenleger*in.,[MASK] ist Bodenleger*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Bodenleger*in,male,floor installer,1.9184351821042145,1.9184351821042145,1.85704549411608,1.85704549411608,6.393265579333033,6.393265579333033,1.7629928425862902,1.7629928425862902,-1.179572505261298,0.7044815103293183,0.6244237061237973,0.3164362587313945,0.2911354831959721,0.41629743571350714,0.4119582576634616
