Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_HF_Assoc,dbmdz_Pre_Assoc,google_bert_HF_Assoc,google_bert_Pre_Assoc,deepset_bert_HF_Assoc,deepset_bert_Pre_Assoc,distilbert_HF_Assoc,distilbert_Pre_Assoc,gelectra_HF_Assoc,gelectra_Pre_Assoc,dbmdz_Post_Assoc,google_bert_Post_Assoc,deepset_bert_Post_Assoc,distilbert_Post_Assoc,gelectra_Post_Assoc
0,Er ist Trockenbaumontagekraft.,[MASK] ist Trockenbaumontagekraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Trockenbaumontagekraft,male,taper,0.0681694243726765,0.0681694243726765,-0.9391837687819532,-0.9391837687819532,5.514864972615433,5.514864972615433,0.1212520674509568,0.1212520674509568,0.0859825031480884,-1.442588819332066,-4.3597134422127235,-1.620197545861525,-1.9159796812648735,-3.432585638850067,-1.311708905103601
1,Er ist Stahlarbeitskraft.,[MASK] ist Stahlarbeitskraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Stahlarbeitskraft,male,steel worker,2.169145064358565,2.169145064358565,1.4107481537509865,1.4107481537509865,5.205994937842265,5.205994937842265,1.5103210408597842,1.5103210408597842,3.0903941997731823,-3.698661724467984,0.2211283416108573,-2.4660729436019406,-0.5820332543625314,-1.8869196531212482,0.03007583133141227
2,Er ist Fachkraft für mobile Geräte.,[MASK] ist Fachkraft für mobile Geräte.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK]   .,<person subject> ist <profession>.,Er,male,Fachkraft für mobile Geräte,male,mobile equipment mechanic,4.749343499908377,4.749343499908377,1.630882258834927,1.630882258834927,3.182048885899842,3.182048885899842,2.327557948412833,2.327557948412833,-3.391763121718395,2.765890890150325,-4.765480617984362,-4.528652716745082,-2.171249996471756,-1.1858581387137053,0.47701987032147203
3,Er ist Mechanik Fachkraft für Busse.,[MASK] ist Mechanik Fachkraft für Busse.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Mechanik Fachkraft für Busse,male,bus mechanic,6.074438152884555,6.074438152884555,1.7407925864389322,1.7407925864389322,4.026025542571149,4.026025542571149,1.8792800346170728,1.8792800346170728,-4.481258536041055,2.982801615632453,-3.1885946807875998,-3.6816373824835282,-0.21914266310718722,-0.6139243703572704,0.35991426880073846
4,Er ist Kfz-Servicetechnikfachkraft.,[MASK] ist Kfz-Servicetechnikfachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Servicetechnikfachkraft,male,service technician,1.6665721886442433,1.6665721886442433,1.2586977393927214,1.2586977393927214,5.449483086286049,5.449483086286049,1.0371336118768937,1.0371336118768937,-0.395526619086974,-0.7352217980431958,-0.8341600130720421,-4.124897803772954,-1.366578448071437,-3.5794628735762237,0.366684696888449
5,Er ist Fachkraft für Heizungstechnik.,[MASK] ist Fachkraft für Heizungstechnik.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft für Heizungstechnik,male,heating mechanic,5.9174416977338655,5.9174416977338655,1.8418950772183176,1.8418950772183176,4.248382665927244,4.248382665927244,2.078315190160924,2.078315190160924,-0.7367595548232552,-0.7712692354883046,-4.370585806178788,-3.68108653363516,-0.7171965181621777,-0.9365353306836458,0.4526738427396444
6,Er ist Elektrofachkraft.,[MASK] ist Elektrofachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Elektrofachkraft,male,electrical installer,2.150674314440709,2.150674314440709,1.658850143234872,1.658850143234872,5.661113930171984,5.661113930171984,1.3922376266762198,1.3922376266762198,2.865054603887388,-3.63379361543564,0.4155113714205827,-2.444267715725587,-0.1058567252491465,-3.424585407192575,0.3385549192623341
7,Er ist Betriebsingenieur*in.,[MASK] ist Betriebsingenieur*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Betriebsingenieur*in,male,operating engineer,2.194381285230364,2.194381285230364,2.14310822299626,2.14310822299626,6.762723720277843,6.762723720277843,1.885617306132967,1.885617306132967,-1.1504490472398057,-1.744857819796404,0.6977796123081457,0.4805515903970775,0.6492713181001181,0.3468772503840058,0.4540255037740231
8,Er ist Fachkraft für Holz-und Bautenschutzarbeiten.,[MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft für Holz-und Bautenschutzarbeiten,male,logging worker,5.865719807292523,5.865719807292523,1.5153588393544926,1.5153588393544926,3.404516631520111,3.404516631520111,2.702650852224762,2.702650852224762,-3.2274358446268714,3.810317564846223,-4.884280360603694,-5.118416677065828,-3.0400062065798132,-1.6716428906360667,0.5222101157610113
9,Er ist Bodenleger*in.,[MASK] ist Bodenleger*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Bodenleger*in,male,floor installer,1.9184351821042145,1.9184351821042145,1.85704549411608,1.85704549411608,6.393265579333033,6.393265579333033,1.7629928425862902,1.7629928425862902,-1.8094156568000732,-1.034265502182652,0.5359646702238904,0.2688287171198718,0.6088732827899779,0.3133324964890182,0.38931061213085194
