Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_HF_Assoc,dbmdz_Pre_Assoc,google_bert_HF_Assoc,google_bert_Pre_Assoc,deepset_bert_HF_Assoc,deepset_bert_Pre_Assoc,distilbert_HF_Assoc,distilbert_Pre_Assoc,gelectra_HF_Assoc,gelectra_Pre_Assoc,dbmdz_Post_Assoc,google_bert_Post_Assoc,deepset_bert_Post_Assoc,distilbert_Post_Assoc,gelectra_Post_Assoc
0,Er ist Trockenbaumontagekraft.,[MASK] ist Trockenbaumontagekraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Trockenbaumontagekraft,male,taper,0.0681694243726765,0.0681694243726765,-0.9391837687819532,-0.9391837687819532,5.514864972615433,5.514864972615433,0.1212520674509568,0.1212520674509568,0.6324127761082313,-1.165948159803769,-4.626919599426056,-0.8807508780541548,-1.355009164923867,-3.666147084119864,-0.420533376154575
1,Er ist Stahlarbeitskraft.,[MASK] ist Stahlarbeitskraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Stahlarbeitskraft,male,steel worker,2.169145064358565,2.169145064358565,1.4107481537509865,1.4107481537509865,5.205994937842265,5.205994937842265,1.5103210408597842,1.5103210408597842,0.0781348716159691,-1.3165921133017888,0.2573483670471328,-0.39413081899598407,-2.5331254429412926,-1.2813277421922733,-0.04899562373030551
2,Er ist Fachkraft für mobile Geräte.,[MASK] ist Fachkraft für mobile Geräte.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK]   .,<person subject> ist <profession>.,Er,male,Fachkraft für mobile Geräte,male,mobile equipment mechanic,4.749343499908377,4.749343499908377,1.630882258834927,1.630882258834927,3.182048885899842,3.182048885899842,2.327557948412833,2.327557948412833,2.4263889891886525,2.2715476363124254,-3.906956975255388,-3.9953938233226483,-5.614693740362124,0.5719884985949405,0.20742373306373707
3,Er ist Mechanik Fachkraft für Busse.,[MASK] ist Mechanik Fachkraft für Busse.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Mechanik Fachkraft für Busse,male,bus mechanic,6.074438152884555,6.074438152884555,1.7407925864389322,1.7407925864389322,4.026025542571149,4.026025542571149,1.8792800346170728,1.8792800346170728,1.9979649600273717,1.8419200824525348,-3.4338842708421673,-4.334125074133354,-1.1836810226350694,0.5955263016514453,-0.03284387534071432
4,Er ist Kfz-Servicetechnikfachkraft.,[MASK] ist Kfz-Servicetechnikfachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Servicetechnikfachkraft,male,service technician,1.6665721886442433,1.6665721886442433,1.2586977393927214,1.2586977393927214,5.449483086286049,5.449483086286049,1.0371336118768937,1.0371336118768937,0.4631757034375506,-1.2725583477141844,-3.824475918899046,-3.9446433747997816,-1.897302781356166,-2.9200887699281335,0.28302815649134755
5,Er ist Fachkraft für Heizungstechnik.,[MASK] ist Fachkraft für Heizungstechnik.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft für Heizungstechnik,male,heating mechanic,5.9174416977338655,5.9174416977338655,1.8418950772183176,1.8418950772183176,4.248382665927244,4.248382665927244,2.078315190160924,2.078315190160924,0.517385999099896,-0.1645145939435699,-4.358676700249149,-4.489112814727752,-1.8832390316310268,0.7595130674597765,0.2240037508895426
6,Er ist Elektrofachkraft.,[MASK] ist Elektrofachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Elektrofachkraft,male,electrical installer,2.150674314440709,2.150674314440709,1.658850143234872,1.658850143234872,5.661113930171984,5.661113930171984,1.3922376266762198,1.3922376266762198,-0.3501528437610631,0.5010164124623855,-0.08226716721875654,-3.1333977015469485,-0.7888695281189512,-2.1309715711918846,0.3105715286677799
7,Er ist Betriebsingenieur*in.,[MASK] ist Betriebsingenieur*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Betriebsingenieur*in,male,operating engineer,2.194381285230364,2.194381285230364,2.14310822299626,2.14310822299626,6.762723720277843,6.762723720277843,1.885617306132967,1.885617306132967,0.1856132744085633,-1.7475127850642207,0.27318697830190236,0.1007180700114174,0.28282877552054025,0.7497428378072902,0.6791485641866403
8,Er ist Fachkraft für Holz-und Bautenschutzarbeiten.,[MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft für Holz-und Bautenschutzarbeiten,male,logging worker,5.865719807292523,5.865719807292523,1.5153588393544926,1.5153588393544926,3.404516631520111,3.404516631520111,2.702650852224762,2.702650852224762,2.2800868198905717,2.022387078581567,-6.108095500165166,-4.071822316039454,-4.572601143910865,-0.8399059537426941,0.14408568091922644
9,Er ist Bodenleger*in.,[MASK] ist Bodenleger*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Bodenleger*in,male,floor installer,1.9184351821042145,1.9184351821042145,1.85704549411608,1.85704549411608,6.393265579333033,6.393265579333033,1.7629928425862902,1.7629928425862902,-0.2363437439538653,-1.6441280319958629,0.27088388792771334,0.06258928052900678,0.0785535068778374,0.6036298017385074,0.6019943140235672
