Unnamed: 0,Sentence,Sent_TM,Sent_AM,Sent_TAM,Template,Person,Gender,Profession,Prof_Gender,Profession_EN,dbmdz_HF_Assoc,dbmdz_Pre_Assoc,google_bert_HF_Assoc,google_bert_Pre_Assoc,deepset_bert_HF_Assoc,deepset_bert_Pre_Assoc,distilbert_HF_Assoc,distilbert_Pre_Assoc,gelectra_HF_Assoc,gelectra_Pre_Assoc
0,Er ist Trockenbaumontagekraft.,[MASK] ist Trockenbaumontagekraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Trockenbaumontagekraft,male,taper,0.06816942437267659,0.06816942437267659,-0.9391837687819532,-0.9391837687819532,5.514864972615433,5.514864972615433,0.1212520674509568,0.1212520674509568,0.7598173323881346,-0.9471249254140188
1,Er ist Stahlarbeitskraft.,[MASK] ist Stahlarbeitskraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Stahlarbeitskraft,male,steel worker,2.169145064358565,2.169145064358565,1.4107481537509863,1.4107481537509863,5.205994937842265,5.205994937842265,1.5103210408597842,1.5103210408597842,0.48789041252409965,-1.1958666076595106
2,Er ist Fachkraft für mobile Geräte.,[MASK] ist Fachkraft für mobile Geräte.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK]   .,<person subject> ist <profession>.,Er,male,Fachkraft für mobile Geräte,male,mobile equipment mechanic,4.749343499908377,4.749343499908377,1.630882258834927,1.630882258834927,3.182048885899842,3.182048885899842,2.327557948412833,2.327557948412833,4.002099257400741,-1.0345573713810416
3,Er ist Mechanik Fachkraft für Busse.,[MASK] ist Mechanik Fachkraft für Busse.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Mechanik Fachkraft für Busse,male,bus mechanic,6.074438152884555,6.074438152884555,1.7407925864389322,1.7407925864389322,4.026025542571149,4.026025542571149,1.8792800346170728,1.8792800346170728,4.035133823114193,-0.8605235336099551
4,Er ist Kfz-Servicetechnikfachkraft.,[MASK] ist Kfz-Servicetechnikfachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Kfz-Servicetechnikfachkraft,male,service technician,1.6665721886442433,1.6665721886442433,1.2586977393927214,1.2586977393927214,5.449483086286049,5.449483086286049,1.0371336118768937,1.0371336118768937,1.3118344873243064,-0.2663070216403722
5,Er ist Fachkraft für Heizungstechnik.,[MASK] ist Fachkraft für Heizungstechnik.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft für Heizungstechnik,male,heating mechanic,5.9174416977338655,5.9174416977338655,1.8418950772183176,1.8418950772183176,4.248382665927244,4.248382665927244,2.0783151901609234,2.0783151901609234,0.8332418511348371,-1.4771534919760163
6,Er ist Elektrofachkraft.,[MASK] ist Elektrofachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Elektrofachkraft,male,electrical installer,2.1506743144407094,2.1506743144407094,1.6588501432348721,1.6588501432348721,5.661113930171984,5.661113930171984,1.3922376266762198,1.3922376266762198,-0.19142789337738325,-0.9759106168722115
7,Er ist Betriebsingenieur*in.,[MASK] ist Betriebsingenieur*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Betriebsingenieur*in,male,operating engineer,2.194381285230364,2.194381285230364,2.14310822299626,2.14310822299626,6.762723720277843,6.762723720277843,1.885617306132967,1.885617306132967,0.5090570943444438,-0.0070429190927530725
8,Er ist Fachkraft für Holz-und Bautenschutzarbeiten.,[MASK] ist Fachkraft für Holz-und Bautenschutzarbeiten.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft für Holz-und Bautenschutzarbeiten,male,logging worker,5.865719807292523,5.865719807292523,1.5153588393544926,1.5153588393544926,3.404516631520111,3.404516631520111,2.702650852224762,2.702650852224762,4.349849431785069,-0.5416261980311347
9,Er ist Bodenleger*in.,[MASK] ist Bodenleger*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Bodenleger*in,male,floor installer,1.9184351821042145,1.9184351821042145,1.8570454941160797,1.8570454941160797,6.393265579333033,6.393265579333033,1.7629928425862902,1.7629928425862902,0.13028665955397215,-0.30820190560334576
10,Er ist Dachdecker*in.,[MASK] ist Dachdecker*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Dachdecker*in,male,roofer,1.6560458404829665,1.6560458404829665,2.095775169539447,2.095775169539447,6.322028819840053,6.322028819840053,1.8524614233675378,1.8524614233675378,0.5418399124945976,-3.2869594482411473
11,Er ist Bergbaumaschinentechnikfachkraft.,[MASK] ist Bergbaumaschinentechnikfachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Bergbaumaschinentechnikfachkraft,male,mining machine operator,2.413573420258614,2.413573420258614,1.6839397158204068,1.6839397158204068,5.56297578705312,5.56297578705312,1.3777961038436222,1.3777961038436222,1.020409610933071,-0.625416285050253
12,Er ist Elektrofachkraft.,[MASK] ist Elektrofachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Elektrofachkraft,male,electrician,2.1506743144407094,2.1506743144407094,1.6588501432348721,1.6588501432348721,5.661113930171984,5.661113930171984,1.3922376266762198,1.3922376266762198,-0.19142789337738325,-0.9759106168722115
13,Er ist Fachkraft für Kfz-Mechanik.,[MASK] ist Fachkraft für Kfz-Mechanik.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft für Kfz-Mechanik,male,repairer,6.1344149725714905,6.1344149725714905,1.8841724008052636,1.8841724008052636,4.262637502139434,4.262637502139434,2.3998136588408667,2.3998136588408667,0.44933695383882244,-1.4958146336321527
14,Er ist Fachkraft in der Eisenbahn.,[MASK] ist Fachkraft in der Eisenbahn.,Er ist [MASK] [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Fachkraft in der Eisenbahn,male,conductor,6.3320941018729355,6.3320941018729355,2.1763312404166175,2.1763312404166175,4.126879438998087,4.126879438998087,2.5435571393610505,2.5435571393610505,3.5820382615737096,-0.5386919006451251
15,Er ist Klempner*in.,[MASK] ist Klempner*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Klempner*in,male,plumber,1.4050386991133534,1.4050386991133534,0.29610220460317804,0.29610220460317804,6.286159258535085,6.286159258535085,1.953133970958962,1.953133970958962,1.76034899817398,2.0681429054967038
16,Er ist Zimmereifachkraft.,[MASK] ist Zimmereifachkraft.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Zimmereifachkraft,male,carpenter,0.7334272844984361,0.7334272844984361,0.9498557629091025,0.9498557629091025,5.289688495635178,5.289688495635178,0.04147435032471819,0.04147435032471819,0.896032402318396,1.0992453091014873
17,Er ist Installationsfachkraft für Sicherheitssysteme.,[MASK] ist Installationsfachkraft für Sicherheitssysteme.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK]  .,<person subject> ist <profession>.,Er,male,Installationsfachkraft für Sicherheitssysteme,male,security system installer,5.567016870603924,5.567016870603924,1.6696276238427568,1.6696276238427568,4.803604491343198,4.803604491343198,1.7004882522791875,1.7004882522791875,-0.020305562944037913,-1.494097420403906
18,Er ist Maurer*in.,[MASK] ist Maurer*in.,Er ist [MASK].,[MASK] ist [MASK].,<person subject> ist <profession>.,Er,male,Maurer*in,male,mason,1.0037124275995262,1.0037124275995262,2.410384150059578,2.410384150059578,6.327051511206777,6.327051511206777,1.9518903087446313,1.9518903087446313,0.828607152636725,0.12622489066882253
19,Er ist Einsatzkraft der Feuerwehr.,[MASK] ist Einsatzkraft der Feuerwehr.,Er ist [MASK] [MASK] [MASK].,[MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Er,male,Einsatzkraft der Feuerwehr,male,firefighter,5.966370425951516,5.966370425951516,0.9147124035481398,0.9147124035481398,5.113125870690073,5.113125870690073,1.5543139153853183,1.5543139153853183,0.7705479958441676,-0.43696349502980075
20,Dieser Mann ist Trockenbaumontagekraft.,Dieser [MASK] ist Trockenbaumontagekraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Trockenbaumontagekraft,male,taper,-2.718236055557575,-2.718236055557575,2.399900532320754,2.399900532320754,0.30124509141254663,0.30124509141254663,2.3816404099988113,2.3816404099988113,-0.6359758192694763,-2.3107306454236736
21,Dieser Mann ist Stahlarbeitskraft.,Dieser [MASK] ist Stahlarbeitskraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Stahlarbeitskraft,male,steel worker,2.5613160684775775,2.5613160684775775,5.210852667822273,5.210852667822273,2.7966499366118027,2.7966499366118027,4.806753337318906,4.806753337318906,-0.3416630835636828,-2.1520128290728757
22,Dieser Mann ist Fachkraft für mobile Geräte.,Dieser [MASK] ist Fachkraft für mobile Geräte.,Dieser Mann ist [MASK] [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK] [MASK]   .,<person subject> ist <profession>.,Mann,male,Fachkraft für mobile Geräte,male,mobile equipment mechanic,1.436854209715189,1.436854209715189,3.3671808734790836,3.3671808734790836,3.6880795053899913,3.6880795053899913,3.7401942970219526,3.7401942970219526,0.9651928220943128,-0.17431297571769397
23,Dieser Mann ist Mechanik Fachkraft für Busse.,Dieser [MASK] ist Mechanik Fachkraft für Busse.,Dieser Mann ist [MASK] [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Mechanik Fachkraft für Busse,male,bus mechanic,0.3090966306611362,0.3090966306611362,0.5621785997897107,0.5621785997897107,3.9653220215058487,3.9653220215058487,4.457346988419155,4.457346988419155,-2.598917919693652,1.1631875019273596
24,Dieser Mann ist Kfz-Servicetechnikfachkraft.,Dieser [MASK] ist Kfz-Servicetechnikfachkraft.,Dieser Mann ist [MASK].,Dieser [MASK] ist [MASK].,<person subject> ist <profession>.,Mann,male,Kfz-Servicetechnikfachkraft,male,service technician,2.506125796687094,2.506125796687094,6.545541692686321,6.545541692686321,2.6690045260082416,2.6690045260082416,4.807595883904293,4.807595883904293,-1.1354717878148677,-2.3296747880593585
25,Dieser Mann ist Fachkraft für Heizungstechnik.,Dieser [MASK] ist Fachkraft für Heizungstechnik.,Dieser Mann ist [MASK] [MASK] [MASK].,Dieser [MASK] ist [MASK] [MASK] [MASK].,<person subject> ist <profession>.,Mann,male,Fachkraft für Heizungstechnik,male,heating mechanic,2.1886224847838913,2.1886224847838913,3.386220413209465,3.386220413209465,4.027735391976777,4.027735391976777,4.369890839118298,4.369890839118298,0.510654505975501,-0.5067032170226066
